arxiv,state,mentioned,sites,values,targets,flag_cite_penoyre,flag_cite_paper_i_id,flag_prov,flag_prov_release,flag_hedge,flag_on_ruwe,flag_on_uwe
2211.07899,measured,1,1,1.5,lindegren,0,0,0,0,0,1,0
2211.08463,measured,1,0,,,0,0,0,0,0,0,0
2211.08852,measured,1,1,1.4,lindegren,0,0,0,0,1,1,0
2211.10803,measured,0,0,,,0,0,0,0,0,0,0
2211.12576,measured,0,0,,,0,0,0,0,0,0,0
2211.14322,measured,1,3,1.4|1.7|4.0,fabricius|gaia_generic,0,0,0,0,0,1,0
2212.02542,measured,1,5,1.0|1.20|1.22|1.4,none|other,0,0,0,0,0,1,0
2212.03596,measured,0,0,,,0,0,0,0,0,0,0
2212.06161,measured,0,0,,,0,0,0,0,0,0,0
2212.08249,measured,1,1,1.4,lindegren,0,0,0,1,1,1,0
2212.11971,measured,1,0,,,0,0,0,0,0,0,0
2212.12087,no_source,,,,,,,,,,,
2301.00822,measured,0,0,,,0,0,0,0,0,0,0
2301.01370,measured,0,0,,,0,0,0,0,0,0,0
2301.01722,measured,1,2,1.4|5,lindegren,0,0,1,0,0,1,0
2301.03777,measured,1,4,1.2|1.4,none|other,0,0,0,0,0,1,0
2301.04232,measured,0,0,,,0,0,0,0,0,0,0
2301.05018,measured,1,1,2.73,fabricius,0,0,0,0,0,1,0
2301.10581,measured,0,0,,,0,0,0,0,0,0,0
2301.11061,measured,0,0,,,0,0,0,0,0,0,0
2301.12109,measured,1,1,1.4,belokurov,0,0,0,0,0,1,0
2301.13470,measured,0,0,,,0,0,0,0,0,0,0
2302.00053,measured,1,1,1.4,other,0,0,0,0,0,1,0
2302.02611,measured,1,0,,,0,0,0,0,0,0,0
2302.02802,measured,0,0,,,0,0,0,0,0,0,0
2302.03455,measured,0,0,,,0,0,0,0,0,0,0
2302.04138,measured,0,0,,,0,0,0,0,0,0,0
2302.04348,measured,1,4,1.4|2.0,lindegren_tn,0,0,0,0,0,1,0
2302.05479,measured,0,0,,,0,0,0,0,0,0,0
2302.07714,measured,0,0,,,0,0,0,0,0,0,0
2302.07880,measured,0,0,,,0,0,0,0,0,0,0
2302.10024,measured,0,0,,,0,0,0,0,0,0,0
2302.12778,measured,0,0,,,0,0,0,0,0,0,0
2303.05743,measured,0,0,,,0,0,0,0,0,0,0
2303.09926,measured,0,0,,,0,0,0,0,0,0,0
2303.12841,measured,0,0,,,0,0,0,0,0,0,0
2303.14073,measured,0,0,,,0,0,0,0,0,0,0
2303.15253,measured,1,1,1.15,none,0,0,0,0,0,1,0
2303.15531,measured,0,0,,,0,0,0,0,0,0,0
2303.16224,measured,0,0,,,0,0,0,0,0,0,0
2303.16357,measured,0,0,,,0,0,0,0,0,0,0
2303.17424,measured,1,2,1.4,none|penoyre,1,0,0,0,0,1,0
2304.00226,measured,1,1,1.4,other,0,0,0,0,0,1,0
2304.01671,measured,1,11,1.4|2,lindegren|none|other,0,0,0,1,1,1,0
2304.02029,measured,0,0,,,0,0,0,0,0,0,0
2304.02209,measured,1,1,1.4,lindegren,0,0,0,0,0,1,0
2304.07158,measured,1,0,,,0,0,0,0,0,0,0
2304.07322,measured,1,13,0.07|1.01|1.2|1.4|2.0,belokurov|none|penoyre,1,0,1,1,0,1,0
2304.08370,measured,1,5,1.4,gaia_generic|lindegren|other,0,0,0,1,0,1,0
2304.09206,measured,0,0,,,0,0,0,0,0,0,0
2304.11980,measured,1,2,1.25,none,0,0,0,0,0,1,0
2304.12169,measured,0,0,,,0,0,0,0,0,0,0
2304.12490,measured,1,0,,,0,0,0,0,0,0,0
2304.13951,measured,0,0,,,0,0,0,0,0,0,0
2304.14113,measured,0,0,,,0,0,0,0,0,0,0
2305.00134,measured,0,0,,,0,0,0,0,0,0,0
2305.02514,measured,0,0,,,0,0,0,0,0,0,0
2305.03557,measured,1,0,,,0,0,0,0,0,0,0
2305.04613,measured,1,1,1.2,penoyre,1,0,0,0,0,1,0
2305.09215,measured,1,2,1.4,gaia_generic|lindegren,0,0,0,0,0,1,0
2305.09414,measured,1,1,1.4,lindegren,0,0,0,1,0,1,0
2305.10269,measured,1,0,,,0,0,0,0,0,0,0
2305.11823,measured,0,0,,,0,0,0,0,0,0,0
2305.16495,measured,1,1,1.11,other,0,0,0,0,0,1,0
2305.17755,measured,1,1,2,other,0,0,0,0,0,1,0
2305.18147,measured,1,1,1.4,penoyre,1,0,0,0,0,1,0
2305.19319,measured,1,1,1.3,fabricius,0,0,0,0,0,1,0
2306.03140,measured,1,1,1.4,lindegren,0,0,0,1,0,1,0
2306.03357,measured,1,1,1.4,gaia_generic,0,0,0,0,0,1,0
2306.04311,measured,0,0,,,0,0,0,0,0,0,0
2306.06888,measured,0,0,,,0,0,0,0,0,0,0
2306.08143,measured,0,0,,,0,0,0,0,0,0,0
2306.08179,measured,1,3,1.23|1.4,other,0,0,0,0,0,1,0
2306.11276,measured,0,0,,,0,0,0,0,0,0,0
2306.13130,measured,1,0,,,0,0,0,0,0,0,0
2306.13132,measured,1,1,1.2,other,0,0,0,1,0,1,0
2306.14025,measured,0,0,,,0,0,0,0,0,0,0
2306.17545,measured,0,0,,,0,0,0,0,0,0,0
2307.01337,measured,1,4,1.4,gaia_generic|other,0,0,0,0,1,1,0
2307.01688,measured,1,1,1.4,lindegren,0,0,0,0,0,1,0
2307.03397,measured,0,0,,,0,0,0,0,0,0,0
2307.05421,measured,1,2,1.4,lindegren,0,0,0,0,0,1,0
2307.05669,measured,0,0,,,0,0,0,0,0,0,0
2307.08959,measured,0,0,,,0,0,0,0,0,0,0
2307.10836,measured,0,0,,,0,0,0,0,0,0,0
2307.13398,measured,0,0,,,0,0,0,0,0,0,0
2307.13719,measured,1,4,1.2|1.4,lindegren|none|other,0,0,0,0,0,1,1
2308.00104,measured,1,11,0.8|1.393|1.4|1.6|7.6,none|other,0,0,0,0,0,1,0
2308.05613,measured,1,1,1.02,fabricius,0,0,0,0,0,1,0
2308.08584,measured,1,4,1.4,penoyre,1,0,0,1,0,1,0
2308.09854,measured,0,0,,,0,0,0,0,0,0,0
2308.12330,measured,1,2,1.4,other,0,0,0,0,0,1,0
2308.12489,measured,1,3,1.4,lindegren,0,0,0,0,0,1,0
2308.13039,measured,1,2,1.4,other,0,0,0,0,0,1,0
2308.14303,measured,0,0,,,0,0,0,0,0,0,0
2308.15919,measured,0,0,,,0,0,0,0,0,0,0
2309.01546,measured,0,0,,,0,0,0,0,0,0,0
2309.02488,measured,0,0,,,0,0,0,0,0,0,0
2309.05524,measured,0,0,,,0,0,0,0,0,0,0
2309.05618,measured,0,0,,,0,0,0,0,0,0,0
2309.06860,no_source,,,,,,,,,,,
2309.10096,measured,0,0,,,0,0,0,0,0,0,0
2309.10148,measured,1,10,0.1|1.0|1.12|1.21|1.4|2|3.13,none|other,0,0,1,0,0,1,0
2309.10404,measured,1,2,1|1.2,none|penoyre,1,0,1,0,0,1,0
2309.10862,measured,1,3,1.4,none,0,0,0,0,0,1,0
2309.11390,measured,1,1,1.009,lindegren,0,0,0,1,0,1,0
2309.13453,measured,1,0,,,0,0,0,0,0,0,0
