arxiv,state,mentioned,sites,values,targets,flag_cite_voc,flag_name_voc_dataset,flag_cite_coco,flag_cite_detector,flag_cite_iouloss,flag_software,flag_hedge,flag_as_iou,flag_as_overlap,flag_as_jaccard
2607.17778v1,measured,1,3,0.5|0.6|0.8,other,0,0,0,0,0,0,1,1,1,0
2607.17754v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.12231v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.08201v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.08075v2,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.05311v1,measured,1,1,0,none,0,0,0,0,0,0,1,1,0,0
2607.03810v1,measured,1,1,0.6,other,0,0,0,0,0,0,1,1,0,0
2607.03764v1,no_source,,,,,,,,,,,,,,
2607.02371v1,measured,1,3,0.3|0.4|0.50,none|other,0,0,0,0,0,0,0,1,0,0
2607.01708v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2607.00124v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.29513v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.27491v1,measured,1,4,0.13|0.5|0.50|0.70,none|other,0,0,0,0,0,0,1,1,0,0
2606.26295v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.28398v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.25324v1,measured,1,1,0.5,other,0,0,0,0,0,0,0,1,0,0
2606.22702v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.22439v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.21594v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.21026v2,no_source,,,,,,,,,,,,,,
2606.20140v2,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.18894v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.18484v1,no_source,,,,,,,,,,,,,,
2606.16414v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.15427v1,measured,1,2,0.5|0.50,coco|none,0,0,0,0,0,0,1,1,0,0
2606.14389v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.12826v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.12371v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.10769v1,measured,1,1,0.50,none,0,0,0,0,0,0,0,1,0,0
2606.10107v1,measured,1,2,0.5,other|voc,1,0,0,0,0,0,0,1,0,0
2606.08206v2,measured,1,2,0.5,none,0,0,0,0,0,0,0,1,0,0
2606.08014v1,measured,1,2,0.5|50,coco|other,0,0,1,0,0,0,1,1,0,0
2606.08002v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.07394v1,measured,1,1,0.50,other,0,0,0,0,0,0,1,1,0,0
2606.03875v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.03748v1,measured,1,1,0.5,other,0,0,0,0,0,0,0,1,0,0
2606.02724v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.01947v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.01549v1,measured,1,1,0.5,none,0,0,0,0,0,0,0,1,0,0
2605.31284v1,measured,1,1,0.5,none,0,0,0,0,0,0,0,0,1,0
2605.29505v1,measured,1,2,0.25|0.5,none,0,0,0,0,0,0,1,1,0,0
2605.29429v2,measured,1,1,0.5,none,0,0,0,0,0,0,0,1,0,0
2605.28261v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.26682v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2605.26370v1,measured,1,6,0.5|0.67,coco|none|other,0,0,1,0,0,0,0,1,0,0
2605.26102v2,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2605.26095v2,measured,1,4,0.1|0.50,coco|none,0,0,0,0,0,0,1,1,0,0
2605.24533v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2605.23656v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2605.23472v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2605.20436v2,measured,1,25,0.007|0.030|0.042|0.046|0.060|0.100|0.123|0.128|0.13|0.156|0.235|0.26|0.268|0.585|0.72|0.729|0.740|0.767|0.786|0.802|0.814|0.821,coco|none,0,0,0,0,0,0,0,1,0,0
2605.19213v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2605.18413v2,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2605.17952v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.15673v1,measured,1,5,0.1|0.50|80,coco|other,0,0,0,0,0,0,0,1,1,0
2605.13152v1,measured,1,2,25|60,none|other,0,0,0,0,0,0,1,1,0,0
2605.11300v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2605.17584v1,measured,1,4,0.6|0.7,none|other,0,0,0,0,0,0,0,1,0,0
2605.09936v1,measured,1,2,0.80,coco|none,0,0,0,0,0,0,0,1,0,0
2605.08925v2,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2605.07415v2,measured,1,3,0.5,none,0,0,0,0,0,0,1,1,0,0
2605.05616v1,measured,1,1,60,none,0,0,0,0,0,0,0,0,1,0
2605.04728v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2605.04506v2,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2605.03784v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.03614v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2605.03144v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2604.24718v1,measured,1,2,0.15,none|other,0,0,0,0,0,0,1,1,1,0
2604.21313v1,measured,1,2,0.5|75,none|other,0,0,0,0,0,0,1,1,1,0
2604.20395v2,measured,1,7,0.5,none|other,0,0,0,0,0,0,1,1,0,0
2604.19609v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2604.22838v1,measured,1,1,87.79,none,0,0,0,0,0,0,0,0,1,0
2604.18957v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2604.18549v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2604.17920v1,measured,1,8,0.5|0.637|0.65|89.2,coco|detector|none|other,0,0,0,0,0,0,0,1,0,0
2604.17856v1,measured,1,3,0.50|200,coco|none,0,0,1,0,0,0,0,1,1,0
2604.17231v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2604.14720v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2604.12318v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2604.10609v1,measured,1,2,0.5|128,none|other,0,0,0,0,0,0,0,1,1,0
2604.10385v3,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2604.09421v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2604.19798v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2604.08916v1,measured,1,2,0.25|0.50,other,0,0,0,0,0,0,0,1,0,0
2604.05347v1,measured,1,3,50,none|other,0,0,0,1,0,0,0,1,0,0
2604.03841v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2604.02188v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2604.02032v1,measured,1,3,0.1|0.5,none,0,0,0,0,0,0,0,1,1,0
2604.01907v2,measured,1,1,50,none,0,0,0,0,0,0,0,0,1,0
2604.01742v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2604.01678v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2603.28297v1,measured,1,1,0.50,coco,0,0,0,0,0,0,1,1,0,0
2603.28027v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2603.27993v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2603.26638v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2603.26541v1,measured,1,1,25,other,0,0,0,0,0,0,0,1,0,0
2603.25993v1,measured,1,2,25|50,none,0,0,0,0,0,0,1,1,0,0
2603.25524v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2603.25165v2,measured,1,1,50,other,0,0,0,0,0,0,1,1,0,0
2603.21206v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2603.20074v1,measured,1,1,0.50,coco,0,0,0,0,0,0,1,1,0,0
2603.19926v1,measured,1,2,50,none|other,0,0,0,0,0,0,1,1,0,0
2603.19802v2,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2603.19609v2,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2603.18739v3,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2603.18671v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2603.17845v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2603.16241v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2603.14309v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2603.13961v2,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2603.12759v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2603.12624v1,measured,1,2,0.50,none,0,0,0,0,0,0,0,1,0,0
2603.10825v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2603.10782v1,no_source,,,,,,,,,,,,,,
