arxiv,state,has_bib,A,A_bib,A_body,B14,B_any,C,sites_all,sites14,evidence
2206.05902,measured,1,1,1,0,0,0,0,1,1,"009)}]{Lindegren2009} Lindegren L., August 2009, {M}inimum-dimension {L}{S}{F} modelling, \urlprefix\url{http://www.rssd.esa.int/doc_fetch.php?id=2915742}, gAIA-C3-TN-LU-LL-084 \bibitem[{{Lindegren} \& {Dravins}(2003)}]{LindegrenDravins2003} {Lindegren} L., {Dravins} D., Apr. 2003, \aap, 401, 1185 \bibitem[{{Lindegren} et~"
2206.05989,measured,1,0,0,0,0,0,0,1,1,
2206.08230,measured,1,0,0,0,0,0,0,1,1,
2206.10505,measured,1,0,0,0,0,0,0,2,2,
2206.11047,measured,1,0,0,0,0,0,0,3,1,
2206.12170,measured,1,0,0,0,0,0,0,1,1,
2206.15318,measured,1,0,0,0,0,0,0,8,1,
2207.02925,measured,1,0,0,0,0,0,0,8,1,
2207.08452,measured,1,0,0,0,0,0,1,10,8,
2207.13368,measured,1,1,1,0,0,0,1,1,1,"J.-E., Lee, S., Lee, S., {et~al.} 2021, ApJL, 916, L20, \dodoi{10.3847/2041-8213/ac0d59} \bibitem[{Lindegren(2018)}]{Lindegren2018RUWE} Lindegren, L. 2018, {Re-normalising the Astrometric Chi-square in Gaia DR2}, Tech. Rep. GAIA-C3-TN-LU-LL-124-01. \newblock \url{http://www.rssd.esa.int/doc_fetch.php?id=3757412} \bibitem[{Lindegren {et~al.}(2018)"
2208.02257,measured,1,0,0,0,0,0,0,2,2,
2208.05277,measured,1,0,0,0,0,0,1,3,3,
2208.09403,measured,1,0,0,0,0,0,0,2,2,
2208.12112,measured,1,0,0,0,0,0,0,1,1,
2209.03906,measured,1,0,0,0,0,0,0,7,3,
2209.06833,measured,1,0,0,0,0,0,0,1,1,
2209.07885,measured,1,0,0,0,0,0,1,1,1,
2209.09915,measured,1,0,0,0,0,0,0,1,1,
2209.12938,measured,1,0,0,0,0,0,0,1,1,
2209.13107,measured,1,0,0,0,0,0,0,1,1,
2210.01137,measured,1,0,0,0,0,0,0,1,1,
2210.03725,measured,1,0,0,0,0,0,0,3,2,
2210.08510,measured,1,0,0,0,0,0,0,1,1,
2210.11930,measured,1,1,1,0,0,0,0,4,4,"D.~W., {Mierle}, K., {Blanton}, M., \& {Roweis}, S. 2010, \aj, 139, 1782 \bibitem[{Lindegren(2018)}]{Lindegren2018report} Lindegren, L. 2018, technical note GAIA-C3-TN-LU-LL-124 \bibitem[{{Lindegren} {et~al.}(2000){Lindegren}, {Madsen}, \& {Dravins}}]{Lindegren2000} {Lindegren}, L., {Madsen}, S., \& {Dravins}, D. 2000, \aa"
2210.14734,measured,1,0,0,0,0,0,1,2,2,
2211.01449,measured,1,1,1,0,0,0,1,3,3,". 1988, \apj, 332, 891 \bibitem[{{Lindegren}(2018)}]{lindegren18b} {Lindegren}, L. 2018, {Gaia Data Processing and Analysis Consortium (DPAC) technical note GAIA-C3-TN-LU-LL-124-01, available at \url{https://www.cosmos.esa.int/web/gaia/public-dpac-documens}} \bibitem[{{Lindegren} {et~al.}(2021{\natexlab{a}}){Lindegren}, {B"
2211.01534,measured,1,0,0,0,0,0,0,1,1,
2211.08852,measured,1,0,0,0,0,0,0,1,1,
2211.14322,measured,1,0,0,0,0,0,0,3,1,
2212.02542,measured,1,0,0,0,0,0,0,5,2,
2212.08249,measured,1,0,0,0,0,0,0,1,1,
2301.01722,measured,1,0,0,0,0,0,1,2,1,
2301.03777,measured,1,0,0,0,0,0,0,4,3,
2301.12109,measured,1,0,0,0,0,0,0,1,1,
2302.00053,measured,1,0,0,0,0,0,0,1,1,
2302.04348,measured,1,1,1,1,1,1,0,4,2,"ess the reliability of astrometric data. It is expected to be $\sim 1.0$ for sources for which the single-star astrometric solution is a good fit \citep{2018LL-LL-124L} while a RUWE $> 1.4$ is a sign of an unresolved binary system \citep{2021ApJ...907L..33S, 2021MNRAS.506.2269E}. We chose a slightly less robust threshold bec"
