literature,arxiv,invokes,sites,candidate
gaia,2306.03140,1,0,1
gaia,2306.03357,1,1,0
gaia,2306.04311,0,0,0
gaia,2306.06888,0,0,0
gaia,2306.08143,0,0,0
gaia,2306.08179,1,1,0
gaia,2306.11276,0,0,0
gaia,2306.13130,1,0,1
gaia,2306.13132,1,1,0
gaia,2306.14025,0,0,0
gaia,2306.17545,0,0,0
gaia,2307.01337,1,4,0
gaia,2307.01688,1,1,0
gaia,2307.03397,0,0,0
gaia,2307.05421,1,0,1
gaia,2307.05669,0,0,0
gaia,2307.08959,0,0,0
gaia,2307.10836,0,0,0
gaia,2307.13398,0,0,0
gaia,2307.13719,1,3,0
gaia,2308.00104,1,11,0
gaia,2308.05613,1,1,0
gaia,2308.08584,1,4,0
gaia,2308.09854,0,0,0
gaia,2308.12330,1,2,0
gaia,2308.12489,1,1,0
gaia,2308.13039,1,2,0
gaia,2308.14303,0,0,0
gaia,2308.15919,0,0,0
gaia,2309.01546,0,0,0
gaia,2309.02488,0,0,0
gaia,2309.05524,0,0,0
gaia,2309.05618,0,0,0
gaia,2309.10096,0,0,0
gaia,2309.10148,1,7,0
gaia,2309.10404,1,2,0
gaia,2309.10862,1,3,0
gaia,2309.11390,1,2,0
gaia,2309.13453,1,0,1
gaia,2309.14605,0,0,0
gaia,2309.15905,1,1,0
gaia,2310.01293,0,0,0
gaia,2310.02241,0,0,0
gaia,2310.02256,1,0,1
gaia,2310.03654,1,4,0
gaia,2310.05653,1,1,0
gaia,2310.06295,1,0,1
gaia,2310.08890,1,1,0
gaia,2310.13489,0,0,0
gaia,2310.15671,1,0,1
gaia,2310.16257,0,0,0
gaia,2310.19866,0,0,0
gaia,2310.20099,0,0,0
gaia,2310.20176,1,2,0
gaia,2311.01827,1,2,0
gaia,2311.03199,1,1,0
gaia,2311.03436,0,0,0
gaia,2311.04862,0,0,0
gaia,2311.08358,1,1,0
gaia,2311.08461,0,0,0
gaia,2311.08489,1,6,0
gaia,2311.08801,1,1,0
gaia,2311.11454,0,0,0
gaia,2311.12210,0,0,0
gaia,2311.17145,0,0,0
gaia,2312.02260,0,0,0
gaia,2312.02735,1,2,0
gaia,2312.03162,1,0,1
gaia,2312.05301,1,1,0
gaia,2312.06776,1,1,0
gaia,2312.08423,0,0,0
gaia,2312.10158,1,0,1
gaia,2312.11124,1,3,0
gaia,2312.11664,1,2,0
gaia,2312.12827,1,0,1
gaia,2401.02484,0,0,0
gaia,2401.03959,1,2,0
gaia,2401.04173,1,3,0
gaia,2401.05630,1,1,0
gaia,2401.08546,1,1,0
gaia,2402.04919,1,1,0
gaia,2402.04946,0,0,0
gaia,2402.05720,0,0,0
gaia,2402.05991,0,0,0
gaia,2402.07346,0,0,0
gaia,2402.07748,0,0,0
gaia,2402.09278,0,0,0
gaia,2402.13223,1,1,0
gaia,2402.14960,1,0,1
gaia,2402.15101,1,1,0
gaia,2402.15438,1,5,0
gaia,2402.17384,0,0,0
gaia,2403.03261,1,2,0
gaia,2403.04592,1,12,0
gaia,2403.04606,1,4,0
gaia,2403.06240,0,0,0
gaia,2403.12129,0,0,0
gaia,2403.12146,1,3,0
gaia,2403.12219,0,0,0
gaia,2404.02976,1,0,1
gaia,2404.05327,0,0,0
gaia,2404.08234,1,5,0
gaia,2404.11022,1,2,0
gaia,2404.12523,0,0,0
gaia,2404.14127,1,7,0
gaia,2404.18099,1,0,1
gaia,2404.19676,1,1,0
gaia,2405.00780,0,0,0
gaia,2405.02423,0,0,0
gaia,2405.02863,0,0,0
gaia,2405.02912,0,0,0
gaia,2405.03457,0,0,0
gaia,2405.04314,0,0,0
gaia,2405.10379,1,1,0
gaia,2405.13395,1,0,1
gaia,2406.04288,1,3,0
gaia,2406.07196,1,3,0
gaia,2406.11593,1,0,1
gaia,2406.16474,0,0,0
gaia,2406.18184,0,0,0
gaia,2406.18631,0,0,0
gaia,2406.18638,0,0,0
gaia,2406.18767,1,0,1
gaia,2407.01037,1,1,0
gaia,2407.02594,1,0,1
gaia,2407.03284,0,0,0
gaia,2407.04765,1,1,0
gaia,2407.06257,0,0,0
gaia,2407.06280,0,0,0
gaia,2407.07187,0,0,0
gaia,2407.10823,1,4,0
gaia,2407.12583,1,1,0
gaia,2407.16760,0,0,0
gaia,2407.18763,0,0,0
gaia,2407.18828,1,1,0
gaia,2407.19219,1,0,1
gaia,2407.20949,1,0,1
gaia,2408.00725,0,0,0
gaia,2408.01411,0,0,0
gaia,2408.03985,0,0,0
gaia,2408.04697,0,0,0
gaia,2408.05423,1,3,0
gaia,2408.10038,0,0,0
gaia,2408.11511,0,0,0
gaia,2408.14694,1,0,1
gaia,2408.17370,0,0,0
gaia,2409.01371,0,0,0
gaia,2409.01891,0,0,0
gaia,2409.02468,0,0,0
gaia,2409.04524,1,1,0
gaia,2409.09563,0,0,0
gaia,2409.10622,0,0,0
gaia,2409.16992,1,19,0
gaia,2409.16993,1,14,0
gaia,2410.00114,0,0,0
gaia,2410.01625,0,0,0
gaia,2410.02737,0,0,0
gaia,2410.05654,1,0,1
gaia,2410.05974,1,1,0
gaia,2410.06247,0,0,0
gaia,2410.06335,0,0,0
gaia,2410.06754,0,0,0
gaia,2410.11037,0,0,0
gaia,2410.11568,0,0,0
gaia,2410.14372,1,5,0
gaia,2410.20194,1,2,0
gaia,2411.00088,1,9,0
gaia,2411.03454,0,0,0
gaia,2411.03994,0,0,0
gaia,2411.09905,0,0,0
gaia,2411.17819,0,0,0
gaia,2412.05002,0,0,0
gaia,2412.07840,0,0,0
gaia,2412.08333,1,2,0
gaia,2412.08465,1,9,0
gaia,2501.02587,1,2,0
gaia,2501.03844,0,0,0
gaia,2501.06295,1,4,0
gaia,2501.08486,1,6,0
gaia,2501.13656,0,0,0
gaia,2501.13809,1,2,0
gaia,2501.14025,0,0,0
gaia,2501.14462,1,15,0
gaia,2501.14494,1,3,0
gaia,2501.14955,1,1,0
gaia,2501.16554,1,1,0
gaia,2501.17236,0,0,0
gaia,2501.18719,1,4,0
gaia,2502.01285,0,0,0
gaia,2502.01910,1,3,0
gaia,2502.08068,1,3,0
gaia,2502.09373,1,15,0
gaia,2502.12251,0,0,0
gaia,2502.17319,0,0,0
gaia,2502.17610,0,0,0
gaia,2503.02657,1,1,0
gaia,2503.05160,1,1,0
gaia,2503.07241,0,0,0
gaia,2503.08286,1,2,0
gaia,2503.08583,1,1,0
gaia,2503.13280,0,0,0
gaia,2503.14605,0,0,0
gaia,2503.15472,0,0,0
gaia,2503.19536,0,0,0
gaia,2503.19997,0,0,0
gaia,2504.03303,0,0,0
gaia,2504.05480,0,0,0
gaia,2504.06362,1,1,0
gaia,2504.06415,0,0,0
gaia,2504.06973,1,1,0
gaia,2504.07569,1,6,0
gaia,2504.11528,1,29,0
gaia,2504.13997,0,0,0
gaia,2504.19616,0,0,0
gaia,2504.19866,1,0,1
gaia,2504.20475,0,0,0
gaia,2505.01470,0,0,0
gaia,2505.03085,1,1,0
gaia,2505.03716,1,1,0
gaia,2505.04106,0,0,0
