arxiv,state,mentioned,sites,values,targets,flag_cite_bda,flag_cite_gr1992,flag_name_gr,flag_cite_vehtari,flag_cite_software,flag_prov,flag_hedge,flag_as_rhat,flag_as_psrf,flag_as_eponym
2606.17717v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.17343v2,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.17267v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.16677v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.16224v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.15525v1,measured,1,3,1.05|1.10,bda|none|software,1,1,0,0,0,1,0,1,0,0
2606.14902v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2606.13305v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.13019v2,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.11405v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.10772v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.10256v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.09307v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.08660v2,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.08642v2,measured,1,5,1.002|1.05,gelman_rubin_1992,0,1,1,0,0,0,0,1,0,1
2606.07947v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.07677v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.06173v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.03961v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.02410v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.02017v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2606.01489v1,no_source,,,,,,,,,,,,,,
2606.01428v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.31511v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.31394v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.30775v2,measured,1,1,1.01,vehtari_2021,0,0,0,1,0,0,0,1,0,0
2605.30623v1,no_source,,,,,,,,,,,,,,
2605.29196v1,no_source,,,,,,,,,,,,,,
2605.29193v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2605.28212v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.27889v2,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2605.27720v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.27184v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.26843v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.25043v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.24847v2,no_source,,,,,,,,,,,,,,
2605.23858v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.23692v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.23048v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2605.20692v1,measured,1,3,1.01|1.05|2.46,none|other|vehtari_2021,0,0,0,1,0,0,0,1,0,0
2605.20400v1,measured,1,6,1.01|1.1,gelman_rubin_1992|none|other|software,0,0,1,0,1,0,0,1,0,0
2605.20143v2,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.18728v1,no_source,,,,,,,,,,,,,,
2605.17518v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.16804v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.15291v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.14565v2,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2605.13660v2,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.12901v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2605.09064v1,measured,1,0,,,0,0,0,0,0,0,0,0,0,0
2605.07300v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.06742v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
2605.06333v1,measured,0,0,,,0,0,0,0,0,0,0,0,0,0
