arxiv,verdict,fetch_ok,members,bytes,fetch_error,landed_all_zero,landed_mentioned,now_mentioned,diffs
2408.13618,NO_SOURCE_ZEROS,0,0,1024264,BadGzipFile: Not a gzipped file (b'%P'),1,0,,
2505.08109,NO_SOURCE_ZEROS,0,0,13111387,BadGzipFile: Not a gzipped file (b'%P'),1,0,,
2012.01916,TRUE_ZERO,1,4,22809902,,1,0,0,
2012.06420,TRUE_ZERO,1,2,18845081,,1,0,0,
2012.08534,TRUE_ZERO,1,4,320718,,1,0,0,
2102.07790,TRUE_ZERO,1,4,12070933,,1,0,0,
2103.05000,TRUE_ZERO,1,4,2267636,,1,0,0,
2103.07432,TRUE_ZERO,1,2,715927,,1,0,0,
2104.04231,TRUE_ZERO,1,2,14646114,,1,0,0,
2104.07934,TRUE_ZERO,1,2,6147537,,1,0,0,
2105.06108,TRUE_ZERO,1,2,780661,,1,0,0,
2105.07266,TRUE_ZERO,1,1,1617738,,1,0,0,
2105.11662,TRUE_ZERO,1,6,5173991,,1,0,0,
2105.13379,TRUE_ZERO,1,1,559519,,1,0,0,
2106.15656,TRUE_ZERO,1,3,3533253,,1,0,0,
2107.06340,TRUE_ZERO,1,2,4308276,,1,0,0,
2108.01100,TRUE_ZERO,1,2,3854740,,1,0,0,
2108.11001,TRUE_ZERO,1,1,252472,,1,0,0,
2108.11208,TRUE_ZERO,1,2,650447,,1,0,0,
2109.03149,TRUE_ZERO,1,2,3732971,,1,0,0,
2109.07522,TRUE_ZERO,1,2,659480,,1,0,0,
2109.10998,TRUE_ZERO,1,3,5767522,,1,0,0,
2109.11826,TRUE_ZERO,1,3,4707865,,1,0,0,
2110.06240,TRUE_ZERO,1,3,3667186,,1,0,0,
2110.10182,TRUE_ZERO,1,1,698943,,1,0,0,
2111.02131,TRUE_ZERO,1,2,7463243,,1,0,0,
2111.06506,TRUE_ZERO,1,2,11616267,,1,0,0,
2111.06899,TRUE_ZERO,1,1,8287069,,1,0,0,
2111.11787,TRUE_ZERO,1,1,8937230,,1,0,0,
2112.04504,TRUE_ZERO,1,2,833738,,1,0,0,
2112.04678,TRUE_ZERO,1,2,8791352,,1,0,0,
2112.11475,TRUE_ZERO,1,1,1702830,,1,0,0,
2112.11567,TRUE_ZERO,1,2,512793,,1,0,0,
2201.03252,TRUE_ZERO,1,2,13082247,,1,0,0,
2201.04134,TRUE_ZERO,1,2,1877877,,1,0,0,
2201.08146,TRUE_ZERO,1,2,2281261,,1,0,0,
2201.08285,TRUE_ZERO,1,1,5744638,,1,0,0,
2201.08508,TRUE_ZERO,1,3,680282,,1,0,0,
2201.11376,TRUE_ZERO,1,2,2060969,,1,0,0,
