frame,arxiv,doi,year,neg_sites,neg_values,neg_attributed,pos_sites,pos_values,pos_attributed,frac_sites,frac_attributed,frac_indexed,spurfrac_sites,spurfrac_attributed,spurfrac_indexed,spurious_terms,successor_criteria
A,2108.11208,10.1051/0004-6361/202141366,2021,0,,0,0,,0,0,0,0,0,0,0,0,
B,2109.00836,10.1093/mnras/stab2374,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
B,2109.03149,10.1088/1674-4527/21/11/292,2021,0,,0,0,,0,0,0,0,0,0,0,0,
B,2109.07522,10.3847/1538-4357/ac626e,2021,0,,0,0,,0,0,0,0,0,0,0,0,
B,2109.09185,10.1051/0004-6361/202039917,2021,0,,0,0,,0,0,0,0,0,0,0,0,excess_noise|ruwe
A,2109.10912,10.1051/0004-6361/202142146,2021,0,,0,0,,0,0,0,0,0,0,0,0,ipd_gof|ruwe
A,2109.10998,10.1093/mnras/stac261,2021,0,,0,0,,0,0,0,0,0,0,0,0,
B,2109.11826,10.1051/0004-6361/202141624,2021,0,,0,0,,0,0,0,0,0,0,0,0,
A,2109.11951,10.3847/1538-3881/ac2ee0,2021,0,,0,0,,0,0,0,0,0,0,0,0,ipd_gof|ruwe
A,2109.12114,10.1051/0004-6361/202141916,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2110.04576,10.3847/1538-4357/ac2f4c,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2110.06240,10.3847/1538-4357/ac5826,2021,0,,0,0,,0,0,0,0,0,0,0,0,
A,2110.10182,10.3847/1538-4357/ac307d,2021,0,,0,0,,0,0,0,0,0,0,0,0,
B,2110.13382,10.3847/1538-4365/ac324a,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2110.13943,10.1051/0004-6361/202141596,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
B,2111.01145,10.1051/0004-6361/202141837,2021,0,,0,0,,0,0,0,0,0,0,0,1,ruwe|visibility
A,2111.01860,10.1051/0004-6361/202142369,2021,0,,0,0,,0,0,0,0,0,0,0,0,fidelity|ruwe
A,2111.02131,10.1088/1674-4527/acaaf1,2021,0,,0,0,,0,0,0,0,0,0,0,0,excess_noise
B,2111.03676,10.1093/mnras/stac2430,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2111.03887,10.1051/0004-6361/202142292,2021,0,,0,0,,0,0,0,0,0,0,0,0,ipd_gof|ruwe
A,2111.05291,10.1051/0004-6361/202142186,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2111.06506,10.1093/mnras/stab3159,2021,0,,0,0,,0,0,0,0,0,0,0,0,
B,2111.06899,10.3847/1538-4357/ac69e6,2021,0,,0,0,,0,0,0,0,0,0,0,0,
A,2111.09324,10.1093/mnras/stab3258,2021,0,,0,0,,0,0,0,0,0,0,0,0,ipd_gof|ruwe
A,2111.11196,10.1051/0004-6361/202142290,2021,0,,0,0,,0,0,0,0,0,0,0,1,ruwe
B,2111.11725,10.3847/1538-4365/ac3df6,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2111.11787,10.3847/1538-4357/ac3b50,2021,0,,0,0,,0,0,0,0,0,0,0,0,
A,2111.13939,10.3847/1538-3881/ac35e3,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2111.13946,10.3847/1538-3881/ac35e2,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2112.00852,10.3847/1538-3881/ac3a8b,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe|sigma5d
A,2112.01703,10.1093/mnras/stab3545,2021,0,,0,0,,0,0,0,0,0,0,0,0,excess_noise|ruwe
B,2112.03959,10.3847/1538-3881/ac415f,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2112.04504,10.3847/1538-4357/ac551c,2021,0,,0,0,,0,0,0,0,0,0,0,0,
B,2112.04678,10.3847/1538-4357/ac2499,2021,0,,0,0,,0,0,0,0,0,0,0,0,
A,2112.06683,10.3847/1538-3881/ac4331,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2112.07023,10.3847/1538-4357/ac432f,2021,0,,0,0,,0,0,0,0,1,0,0,2,ruwe
B,2112.11475,10.1093/mnras/stac706,2021,0,,0,0,,0,0,0,0,0,0,0,0,
A,2112.11567,10.1088/1475-7516/2022/06/002,2021,0,,0,0,,0,0,0,0,0,0,0,0,
B,2112.11943,10.3847/1538-4357/ac4584,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2112.12152,10.3847/1538-3881/ac4fc0,2018,0,,0,0,,0,0,0,0,0,0,0,5,ruwe
A,2112.15353,10.1051/0004-6361/202143018,2021,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2201.00733,10.3847/1538-4357/ac479e,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2201.03252,10.1051/0004-6361/202141828,2022,0,,0,0,,0,0,0,0,0,0,0,3,
B,2201.04134,10.3847/1538-3881/ac478c,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2201.05124,10.1038/s41586-021-04286-5,2022,0,,0,0,,0,0,0,0,0,0,0,0,
B,2201.05614,10.1093/mnras/stac2422,2022,0,,0,1,3,0,0,0,0,0,0,0,0,ruwe
B,2201.08146,10.1051/0004-6361/202142880,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2201.08285,10.1007/s12036-022-09815-w,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2201.08508,10.3847/1538-3881/ac4d9f,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2201.09097,10.1051/0004-6361/202142576,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2201.09438,10.3847/1538-3881/ac4dec,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
B,2201.09963,10.3847/1538-3881/ac7804,2022,0,,0,0,,0,0,0,0,1,1,0,1,ruwe
A,2201.11376,10.3847/1538-4357/ac524f,2022,0,,0,0,,0,0,0,0,0,0,0,0,
B,2201.13379,10.1051/0004-6361/202142468,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
B,2202.00042,10.3847/1538-3881/ac517f,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2202.02315,10.3847/2041-8213/ac51d8,2022,0,,0,0,,0,0,0,0,0,0,0,0,
B,2202.04199,10.1093/mnras/stac374,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2202.06963,10.1093/mnras/stac1147,2022,0,,0,0,,0,0,0,0,1,0,0,10,excess_noise|ipd_gof|ruwe
A,2202.07942,10.1093/mnras/stac391,2022,0,,0,0,,0,0,0,0,0,0,0,0,excess_noise|gof_al
A,2202.08369,10.3847/1538-3881/ac41d2,2022,0,,0,0,,0,0,0,0,0,0,0,0,ipd_gof|ruwe
A,2202.11110,10.3847/1538-4357/ac7559,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2202.11472,10.1093/mnras/stac2002,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2203.01953,10.1093/mnras/stac644,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2203.03659,10.1093/mnras/stac1686,2022,0,,0,0,,0,0,0,0,0,0,0,3,ruwe
B,2203.05901,10.3847/2041-8213/ac5a55,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2203.07294,10.3847/1538-4357/ac5d4e,2022,0,,0,0,,0,0,0,0,0,0,0,0,excess_noise|ruwe
A,2203.07938,10.1051/0004-6361/202243337,2022,0,,0,0,,0,0,0,0,0,0,0,0,excess_noise|ruwe|sigma5d
B,2203.08971,10.3847/1538-4357/ac5ac0,2022,0,,0,1,20,1,0,0,0,0,0,0,0,
A,2203.11234,10.1038/s41550-022-01761-5,2022,0,,0,0,,0,0,0,0,0,0,0,0,
B,2203.11250,10.3847/1538-3881/ac53fc,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
B,2203.12795,10.3847/1538-3881/ac6101,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2204.09414,10.1093/mnras/stac2374,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2204.12140,10.1093/mnras/stac2869,2022,0,,0,0,,0,0,0,0,0,0,0,0,excess_noise|ruwe
A,2204.12551,10.1093/mnras/stac3529,2022,0,,0,0,,0,0,0,0,0,0,0,0,ipd_gof|ruwe
A,2204.13672,10.1093/mnras/stad233,2022,0,,0,0,,0,0,0,0,0,0,0,2,excess_noise|ruwe|visibility
B,2205.00014,10.1093/mnras/stac1336,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2205.00040,10.3847/1538-3881/ac69ef,2022,0,,0,0,,0,0,0,0,0,0,0,1,ruwe
A,2205.03444,10.1051/0004-6361/202243342,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
B,2205.04444,10.3847/1538-4357/ac6c84,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2205.05690,10.3847/2041-8213/ac7c70,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2205.06186,10.1051/0004-6361/202243939,2022,0,,0,0,,0,0,0,0,1,0,0,1,ruwe
B,2205.06789,10.1093/mnrasl/slac148,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2205.08009,10.3847/1538-4357/ac70cf,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2205.08548,10.3847/1538-4357/ac6fe0,2022,0,,0,0,,0,0,0,0,0,0,0,0,
A,2205.12278,10.1093/mnras/stad209,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2205.12874,10.1051/0004-6361/202142573,2022,0,,0,3,3|5,0,0,0,0,3,0,1,1,
A,2205.13153,10.3847/1538-3881/ac7445,2022,0,,0,0,,0,0,0,0,0,0,0,0,
B,2205.13715,10.3847/1538-4357/ac72a0,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
B,2206.00025,10.3847/1538-4357/ac78d9,2022,0,,0,0,,0,0,0,0,0,0,0,1,fidelity
A,2206.00417,10.1051/0004-6361/202142251,2021,0,,0,0,,0,0,0,0,1,1,0,1,excess_noise|ipd_gof|ruwe|visibility
A,2206.00604,10.1093/mnras/stac2827,2022,0,,0,4,8,0,0,0,0,0,0,0,0,ruwe
B,2206.03074,10.1051/0004-6361/202244116,2022,0,,0,0,,0,0,0,0,0,0,0,0,
B,2206.03511,10.1051/0004-6361/202243146,2022,0,,0,0,,0,0,0,0,0,0,0,1,ruwe
A,2206.03777,10.1051/0004-6361/202243658,2022,0,,0,0,,0,0,0,0,0,0,0,0,ruwe
A,2206.04148,10.3847/1538-4357/ac7047,2022,0,,0,0,,0,0,0,0,0,0,0,1,excess_noise|ipd_gof|ruwe|sigma5d
